Date,Consumer_Discretionary,Consumer_Staples,Energy,Financials,Health_care,Industrials,Information_techology,Materials,Real_estate,Communication,Utilities
6/27/2018,3086.026268,2563.840266,1310.999802,1261.559107,3070.779373,2256.604984,3553.13268,1967.269508,1610.325253,2034.755925,2000.205165
6/28/2018,3107.523593,2568.469325,1308.962654,1271.232173,3078.486658,2259.563452,3592.477982,1975.922348,1624.814343,2061.074029,1999.936603
6/29/2018,3109.204059,2564.345486,1316.298194,1269.201973,3084.209641,2265.856716,3593.476002,1982.23136,1627.745641,2055.36774,2001.217692
7/2/2018,3113.090462,2551.849638,1294.633962,1277.995875,3097.684123,2271.111603,3631.472417,1975.673495,1620.117061,2054.799615,2016.94624
7/3/2018,3096.479243,2556.86246,1304.66465,1266.872911,3105.793948,2264.976469,3586.611984,1970.594186,1631.180819,2081.678233,2022.231439
7/4/2018,3096.479243,2556.86246,1304.66465,1266.872911,3105.793948,2264.976469,3586.611984,1970.594186,1631.180819,2081.678233,2022.231439
7/5/2018,3116.365033,2594.363995,1303.064069,1270.985149,3137.973423,2279.139331,3639.692067,1990.920831,1651.388043,2105.27546,2035.838297
7/6/2018,3142.099378,2602.171611,1314.110462,1277.890138,3184.565036,2287.470286,3685.334554,2000.823174,1658.890502,2121.967426,2051.273045
7/9/2018,3177.171548,2590.29792,1334.956275,1306.275383,3204.266542,2326.896086,3715.205401,2021.054801,1645.331329,2125.524836,1988.457263
7/10/2018,3182.27515,2620.197447,1343.221516,1300.346498,3213.84581,2331.923525,3722.691318,2034.746268,1649.617839,2130.623125,2007.789689
7/11/2018,3171.762634,2610.720677,1313.29379,1293.90182,3191.934288,2298.064197,3703.550888,2002.514391,1644.673395,2093.556357,2023.591758
7/12/2018,3190.328757,2608.3581,1315.203323,1293.99186,3229.277247,2320.349366,3770.793293,2006.30883,1648.487808,2111.059798,2024.404679
7/13/2018,3199.92507,2622.53611,1321.859414,1287.325266,3233.782711,2334.128909,3767.499276,2005.978085,1645.076367,2093.253918,2024.950161
7/16/2018,3201.600689,2608.676479,1304.927937,1308.399199,3210.341254,2320.203235,3754.809877,1988.25907,1635.773997,2088.722394,2022.348148
7/17/2018,3210.045622,2629.20521,1300.75632,1310.745391,3230.44535,2329.778345,3786.616724,2014.188361,1625.466683,2077.618572,2020.251118
7/18/2018,3209.835021,2611.958688,1301.780223,1328.084897,3231.95611,2351.36485,3784.777491,2019.063667,1618.111029,2059.664993,2011.184018
7/19/2018,3204.764203,2612.530756,1302.399518,1312.679057,3219.402291,2353.945308,3773.797134,2008.389133,1635.884206,2042.506054,2030.54672
7/20/2018,3187.13305,2626.885741,1297.477641,1316.037071,3213.043607,2352.182393,3774.380965,1999.929988,1620.704993,2027.701258,2015.785232
7/23/2018,3181.488567,2613.079479,1291.846119,1332.278736,3221.913087,2337.928468,3791.055205,1991.376543,1618.087706,2021.42624,2003.84011
7/24/2018,3166.384398,2615.554186,1307.402346,1334.455922,3237.134893,2345.487079,3799.355481,2013.100125,1610.13888,2041.296788,2009.135509
7/25/2018,3186.351874,2633.453787,1318.877533,1336.191597,3273.420983,2374.482479,3855.407813,2024.82725,1621.425514,2002.177645,2013.26166
